,count,mean,std,min,25%,50%,75%,max,median
mean_abs_ch0,6324.0,0.7917985174922791,0.004321171888546317,0.7663209625461812,0.7889229923408371,0.7917827626264524,0.794823090638891,0.8088938098805911,0.7917827626264524
mean_abs_ch1,6324.0,0.8077856457411405,0.003803498269198838,0.7787966418057692,0.805571693778141,0.8077118598455586,0.81023620532926,0.8267280396622374,0.8077118598455586
mean_abs_ch2,6324.0,0.796678543281505,0.005349890686761086,0.6969419041360291,0.7955859475136164,0.7972212161723653,0.7987042962063474,0.8867173616709623,0.7972212161723653
mean_abs_ch3,6324.0,0.7940293084433676,0.003027034950177866,0.7608986518730242,0.7925276785892609,0.7941751611835002,0.7957295291379841,0.8194198962608729,0.7941751611835002
rms_ch0,6324.0,1.0,2.03039155608786e-15,0.9999999999999908,0.9999999999999988,1.0,1.000000000000001,1.0000000000000078,1.0
rms_ch1,6324.0,1.0,1.9904232332919693e-15,0.999999999999993,0.9999999999999988,1.0,1.000000000000001,1.0000000000000078,1.0
rms_ch2,6324.0,1.0,1.8597489938085716e-15,0.9999999999999932,0.9999999999999988,1.0,1.000000000000001,1.000000000000007,1.0
rms_ch3,6324.0,1.0,1.9684351344198474e-15,0.9999999999999932,0.9999999999999988,1.0,1.000000000000001,1.0000000000000069,1.0
kurtosis_ch0,6324.0,0.31241488433686615,0.18067485604368466,-0.1471647049038953,0.1927365311784458,0.29280780562748654,0.3988798268344004,2.1677676311009817,0.29280780562748654
kurtosis_ch1,6324.0,-0.1701575542704421,0.08947694444775417,-0.5370270143881473,-0.22873812551472592,-0.1734355172182187,-0.12159674025704398,0.6353372978234315,-0.1734355172182187
kurtosis_ch2,6324.0,0.056806500902876235,0.2248333244538811,-1.4102541314271435,-0.00728648822685935,0.0341363763432209,0.08154827046526032,8.831418441316705,0.0341363763432209
kurtosis_ch3,6324.0,0.14168369188236576,0.0881478532339407,-0.5035270645906182,0.08746572625687266,0.13449922203944203,0.18881488409468503,0.9421446588118648,0.13449922203944203
shape_ch0,6324.0,1.2629852083567876,0.006901229155740636,1.2362562153215386,1.258141606324227,1.2629726829153396,1.2675508379273852,1.3049362458745732,1.2629726829153396
shape_ch1,6324.0,1.2379796804989769,0.005842020706655711,1.209587617723177,1.2342079919929092,1.2380652677200485,1.2413544414794297,1.2840322445167904,1.2380652677200485
shape_ch2,6324.0,1.2552706979157298,0.008840599216778969,1.1277550696825884,1.2520278214976477,1.254356983625564,1.2569352225554722,1.434839825336175,1.254356983625564
shape_ch3,6324.0,1.2594177208219834,0.004818459329695014,1.220375541969558,1.2567084208669057,1.2591680637689338,1.2617855842970798,1.3142354734607646,1.2591680637689338
impulse_ch0,6324.0,6.562208850863253,0.9673272570508841,4.720573822696037,5.919046252001532,6.363325710636294,6.957945271294179,15.372796029476344,6.363325710636294
impulse_ch1,6324.0,5.290928702665802,0.5429703920975274,3.844645173004884,4.911279887084003,5.204872722397793,5.577368315289817,8.547531964318974,5.204872722397793
impulse_ch2,6324.0,5.5650687401841505,0.6373417716687111,2.4851476840854176,5.160280924507222,5.444083805570607,5.816086751654303,12.648865871922183,5.444083805570607
impulse_ch3,6324.0,5.838558767703235,0.6496283317628906,3.897766651863954,5.394129496534859,5.721181609647249,6.154308705607047,12.008658595727308,5.721181609647249
crest_ch0,6324.0,5.193846049553082,0.7497932455771565,3.765123829774496,4.696016555581805,5.039830478233176,5.501796029640047,12.095820145761207,5.039830478233176
crest_ch1,6324.0,4.273214665921548,0.4315790935547534,3.115854882597771,3.971081802824073,4.203283294352154,4.499300995060935,6.857084864450593,4.203283294352154
crest_ch2,6324.0,4.432124307771288,0.49118258480249855,2.20362359779493,4.113997365305842,4.338322691036421,4.6328691308553,8.912403164406307,4.338322691036421
crest_ch3,6324.0,4.635486462914807,0.5113339754687128,3.1901751447880557,4.287741751175901,4.541225369630299,4.8858533344413715,9.456712837007796,4.541225369630299
entropy_ch0,6324.0,5.350403720772921,0.10480152205446762,4.697288628493205,5.292733169196502,5.363676647250287,5.422503342494029,5.613635045680639,5.363676647250287
entropy_ch1,6324.0,5.536891822162555,0.07382457746329626,5.187786055567693,5.494306672563208,5.54409697433414,5.589164306019482,5.798729785175943,5.54409697433414
entropy_ch2,6324.0,5.495514685710319,0.07829056348691212,4.796271579270042,5.454452555973759,5.505796171878504,5.548103247265069,5.724903050699638,5.505796171878504
entropy_ch3,6324.0,5.451044406940526,0.08130148195763344,4.898455975142424,5.406370307360203,5.460009947736255,5.505556326090901,5.771806861518567,5.460009947736255
